Bureau,Total Accounts,Open Accounts,Close Accounts,Delinquent Accounts,Derogatory Accounts,Total Balances,Total Monthly Payments,Late 30 Count,Late 60 Count,Late 90 Count,No of Revolving Acc,No of Installment,No of Mortgage,No of Open Acc,No of Unknown Acc,No of Collection Acc,No of line of credit Acc,No of Inq,No of Public Record,Age of Oldest Account,Open Student loans,Credit Limit,Credit Score
TransUnion,28,10,18,1,8,23471,163,3,2,1,20,5,1,2,0,0,0,0,1,17,1,87800,638
Equifax,6,2,4,1,0,8547,187,8,2,1,3,0,3,0,0,0,0,2,0,17,0,13422,623
Experian,26,16,10,0,0,30451,1132,0,0,0,19,5,0,0,2,0,0,2,0,17,0,42825,719
TransUnion,37,30,7,0,0,25387,970,7,0,0,33,1,2,1,0,0,0,1,0,25,0,106400,761
Equifax,28,22,6,2,0,15809,737,5,0,0,18,7,0,1,1,0,0,34,0,25,0,5112,509
Experian,5,4,1,0,0,450,14,8,5,11,5,0,0,0,0,0,0,2,0,25,0,6500,628
TransUnion,37,30,7,0,0,25387,970,7,0,0,33,1,2,1,0,0,0,1,0,25,0,106400,761
Equifax,28,22,6,2,0,15809,737,5,0,0,18,7,0,1,1,0,0,34,0,25,0,5112,509
Experian,5,4,1,0,0,450,14,8,5,11,5,0,0,0,0,0,0,2,0,25,0,6500,628
TransUnion,11,1,10,1,4,96,0,0,0,0,5,4,0,2,0,0,0,1,2,29,0,6600,494
Equifax,2,1,1,1,0,794,85,0,0,9,0,1,0,0,0,0,1,21,3,29,0,0,471
Experian,23,14,9,0,0,51028,1387,0,0,0,11,6,1,0,5,0,0,0,0,29,0,8675,747
TransUnion,11,1,10,1,4,96,0,0,0,0,5,4,0,2,0,0,0,1,2,29,0,6600,494
Equifax,2,1,1,1,0,794,85,0,0,9,0,1,0,0,0,0,1,21,3,29,0,0,471
Experian,23,14,9,0,0,51028,1387,0,0,0,11,6,1,0,5,0,0,0,0,29,0,8675,747
TransUnion,12,10,2,0,0,7974,415,0,0,0,6,5,1,0,0,0,0,0,0,36,0,16000,827
Equifax,15,9,6,4,0,21666,239,1,0,100,5,9,0,1,0,0,0,9,1,36,0,5000,654
Experian,17,11,6,0,0,59040,1275,1,0,0,13,1,3,0,0,0,0,0,0,36,0,35500,808
TransUnion,12,10,2,0,0,7974,415,0,0,0,6,5,1,0,0,0,0,0,0,36,0,16000,827
Equifax,15,9,6,4,0,21666,239,1,0,100,5,9,0,1,0,0,0,9,1,36,0,5000,654
Experian,17,11,6,0,0,59040,1275,1,0,0,13,1,3,0,0,0,0,0,0,36,0,35500,808
TransUnion,12,10,2,0,0,7974,415,0,0,0,6,5,1,0,0,0,0,0,0,36,0,16000,827
Equifax,15,9,6,4,0,21666,239,1,0,100,5,9,0,1,0,0,0,9,1,36,0,5000,654
Experian,17,11,6,0,0,59040,1275,1,0,0,13,1,3,0,0,0,0,0,0,36,0,35500,808
TransUnion,18,14,4,0,0,18635,1205,0,0,0,12,6,0,0,0,0,0,0,0,22,0,37400,814
Equifax,12,9,3,0,0,117424,1388,0,0,0,5,6,1,0,0,0,0,23,0,22,2,9535,701
Experian,19,2,17,2,13,50595,287,3,3,14,13,1,0,3,1,0,1,2,1,22,0,38331,511
TransUnion,3,3,0,0,0,81378,685,0,0,0,2,0,1,0,0,0,0,1,0,9,0,0,729
Equifax,20,17,3,7,1,7100,325,17,4,2,16,2,0,0,1,1,0,28,0,9,0,3622,545
Experian,11,9,2,0,0,5291,219,0,0,0,11,0,0,0,0,0,0,2,0,10,0,28950,734
TransUnion,8,7,1,0,0,6134,505,0,0,0,6,2,0,0,0,0,0,0,0,38,0,44100,797
Equifax,5,3,2,0,0,2880,160,2,0,0,4,1,0,0,0,0,0,12,0,46,0,0,619
Experian,23,15,8,0,0,17412,622,0,0,0,16,5,1,0,0,0,1,0,0,46,0,93625,824
TransUnion,31,15,16,0,0,191317,2836,1,0,0,12,14,4,0,0,0,1,0,0,15,0,15900,661
Equifax,42,24,18,0,0,560849,7214,0,0,0,9,15,12,2,0,0,3,18,0,15,0,31600,684
Experian,27,19,8,0,0,89224,1521,0,0,0,17,7,1,0,1,0,1,5,0,15,0,59400,739
TransUnion,1,1,0,0,0,111,10,0,0,0,1,0,0,0,0,0,0,0,0,40,0,6000,788
Equifax,24,16,8,0,1,181124,2240,34,8,2,13,4,3,1,3,0,0,18,0,40,0,10743,599
Experian,22,9,13,0,0,5684,112,0,0,0,19,1,0,0,0,0,2,2,0,40,0,50600,797
TransUnion,1,1,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0,0,677
Equifax,27,17,10,0,0,26782,1382,5,0,0,14,12,1,0,0,0,0,20,0,25,0,28705,679
Experian,7,7,0,0,0,599,15,0,0,0,6,1,0,0,0,0,0,0,0,25,0,15500,813
TransUnion,35,20,15,0,0,68353,1116,1,0,0,23,6,4,2,0,0,0,0,0,13,0,32000,791
Equifax,6,1,5,0,5,1648,0,0,1,6,1,3,0,0,0,2,0,20,0,13,0,0,552
Experian,9,7,2,0,0,3385,176,2,2,3,8,1,0,0,0,0,0,3,0,13,0,3876,640
TransUnion,6,1,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,6,0,33000,783
Equifax,9,7,2,0,0,149,10,0,0,0,9,0,0,0,0,0,0,24,0,6,0,22112,731
Experian,14,9,5,1,0,128126,9484,17,1,0,3,4,3,0,4,0,0,7,0,6,0,0,567
TransUnion,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,2000,752
Equifax,31,18,13,0,0,177818,2099,0,0,0,14,14,3,0,0,0,0,19,0,7,6,34362,748
Experian,11,7,4,0,0,14618,294,0,0,0,7,3,0,0,1,0,0,2,0,7,0,18900,624
TransUnion,41,28,13,0,0,5111,157,40,8,1,40,1,0,0,0,0,0,0,0,23,0,53853,672
Equifax,15,11,4,0,0,15416,336,0,0,0,8,7,0,0,0,0,0,7,0,23,0,4582,739
Experian,18,9,9,0,3,19366,10,3,3,9,13,3,2,0,0,0,0,1,1,23,0,50904,613
TransUnion,15,3,12,2,6,9793,71,5,3,2,8,5,0,0,0,2,0,1,0,10,0,9100,521
Equifax,8,4,4,1,0,52025,747,7,0,0,4,3,1,0,0,0,0,4,0,10,0,2500,739
